,loss,val_loss
0,93867.4140625,50087.33203125
1,68814.03125,43936.734375
2,59334.671875,44392.3515625
3,57381.0546875,52562.046875
4,49458.53125,47571.96484375
5,55175.61328125,36129.75
6,48967.05859375,40868.74609375
7,55232.82421875,42923.22265625
8,52962.32421875,40011.05078125
9,56552.1875,34047.02734375
10,46746.6328125,32952.12890625
11,44198.078125,32587.72265625
12,46382.25,33308.43359375
13,39849.23828125,49578.1328125
14,41595.203125,33566.95703125
15,43471.453125,36636.515625
16,41887.3203125,28934.12109375
17,34708.3203125,36261.27734375
18,37708.76953125,37814.84765625
19,111334.203125,39352.984375
20,57427.37109375,124483.9140625
21,56089.87109375,32933.8203125
22,47652.89453125,40428.55859375
23,35463.62890625,82681.875
24,42140.65625,33699.08984375
25,69730.3125,41706.76953125
26,45280.23046875,49234.5234375
27,111664.8671875,60785.203125
28,66435.734375,59663.9453125
29,51289.22265625,44862.9140625
30,54936.48046875,36064.4609375
31,39893.74609375,29879.302734375
32,34343.640625,32645.3828125
33,29420.1484375,31520.775390625
34,28914.435546875,30288.330078125
35,28818.30078125,31326.283203125
36,43226.39453125,49943.70703125
37,59336.89453125,30566.78515625
38,28615.404296875,43925.20703125
39,44399.99609375,28298.361328125
40,29264.45703125,27267.9296875
41,39704.59765625,43009.6484375
42,37853.31640625,25882.400390625
43,26715.2578125,25876.595703125
44,24171.365234375,38234.125
45,21071.521484375,34971.6953125
46,29433.865234375,26649.439453125
47,48702.15625,34534.41015625
48,27040.005859375,28813.83984375
49,30403.728515625,34420.16015625
50,28887.783203125,32989.4921875
51,57227.52734375,33540.171875
52,24843.04296875,28063.75
53,22594.01953125,36268.671875
54,25904.71484375,33473.6171875
55,26122.771484375,25622.814453125
56,21741.361328125,22727.30078125
57,21363.3984375,22535.779296875
58,19781.37109375,30171.115234375
59,31101.28515625,26220.255859375
60,20271.205078125,27192.4140625
61,21503.8046875,33085.15234375
62,24883.552734375,20041.85546875
63,18923.501953125,22007.515625
64,18511.30078125,21121.26953125
65,25135.052734375,30520.91796875
66,20115.62890625,25952.953125
67,19318.88671875,20479.322265625
68,17483.384765625,21111.5078125
69,18269.658203125,22462.294921875
70,21902.18359375,39592.45703125
71,16999.265625,21229.771484375
72,15680.7509765625,18669.7578125
73,14717.310546875,24330.03515625
74,17931.0078125,26834.796875
75,18168.818359375,52076.1328125
76,48671.26953125,24173.96875
77,21251.310546875,23958.111328125
78,19479.736328125,22382.93359375
79,18145.587890625,24858.453125
80,32855.125,23152.390625
81,22448.337890625,25394.9609375
82,15491.2607421875,20554.314453125
83,14425.6611328125,20917.66015625
84,14948.03515625,21342.16015625
85,13953.203125,18439.134765625
86,16575.8671875,19922.205078125
87,14849.28125,23250.2109375
88,14101.6123046875,17828.505859375
89,14068.58203125,22232.90625
